Nama_Usaha,Alamat_Usaha
,Jalan Brigjen Katamso 10 RT 11 RW 005
Kacang pedas cap sriti,Perum tamansari Indah RT. 20/07 Tamansari 
Warung Lina,"Jalan Raya Situbondo,Kece. Tenggarang Kan. Bondowoso"
GrandmaR7 Nursery,Jl. Mayjen Panjaitan Gg. I/36 RT 02/RW 01
TOKO RUDY SPORT,JL RE MARTADINATA BONDOWOSO
UMIK LINDA,"JL. Raya Tamanan, utara alun alun Tamanan, RT.04/RW.01"
Pedagang makanan dan minuman,"Klabang, Rt005/Rw001, Sumbersuko"
Kue,"Jalan diponegoro no134 rt 23 rw 05 kelurahan kotakulon, kecamatan bondowoso, kabupaten bondowoso"
LINDA  CATERING,KRAJAN  I RT.001 RW.007
LINDA JAYA,kelurahan sekarputih RT.04 RW. 02 
,KELURAHAN SEKARPUTIH RT.04 RW.02
linda olshop,tlogosari rt 006 rw 002
"Pembibitan cabe, Terong, Tomat, dll.","Desa Karanganyar RT/RW 018/005, Tegalampel, Bondowoso"
JUAL BAJU BEKAS,DESA MANDIRO RT.16 RW.08
CATERING LINDA,MANDIRO RT.006 RW.002
Penjahit,Jl.KIS Mangunsarkoro
Tata rias linda,Sukodono Rt 06/ 03
Toko Syahdu ,Cangkring RT 01 RW 06 Prajekan Bondowoso
LINY MARKISA,"JL.HOS COKROAMINOTO 20 A,RT.024 RW,004"
ES CAMPUR LISA,JLDIPONEGORO KOTAKULON
PEKEBUN,Sumbercanting rt14 re01
Berkah,Desa besuk Rt 06 Rw 02 Kecamatan Klabang Kabupaten Bondowoso
Gorengan lisa,Desa paguan rt 3 rw 1 taman krocok bondowoso 
TOKO MITRA,JL KH AGUS SALIM NO 49-51
PRACANGAN,DUSUN KARANG TENGAH RT-16 RW 03
TOKO SEMBAKO,KEMBANGAN RT.002 RW.001
Toko Sumber Urip 2,Desa Blimbing RT. 07/01
surma mbak listy,jalan letnan sutarman
Liya cake,"Desa Tanggulangin, Rt 02 Rw 01 Tegalampel"
Kedai,"Jl. Kis Mangunsarkoro, Kali nangkaan"
Jual baju,Supriadi RT 025 RW 001 kelurahan Kademangan kecamatan bondowoso
TOKO BAROKAH,"Pasar Maesan,"
"Toko ATK, Fotocopy dan Sembako",Dsn Pasar RT.01 RW.01
Toko Barokah,BATAAN RT.15 RW.05 KEC.TENGGARANG KAB.BONDOWOSO
X-CELL,JALAN MASKUNING WETAN RT.14 RW.03
KELONTONG,DUSUN KRAJAN TIMUR RT.001 RW.001
PENJUAL BAJU ONLINE,GAMBANGAN RT 4 RW 1
Kedai nayla,Jln.hos.cokro aminoto no 20 rt:1/rw:1
BLIMBING SEJAHTERA,Blimbing RT/RW 9/3
UD BERKAH JAYA ARANG,DESA PANDAK RT.015 RW.004
GADING ALMUNIUM DAN GLASS ( GAG ),Dusun Gading RT.015 RW.006
DAPUR I.N,LUMUTAN RT.008 RW.003
besek ikan,ambulu timur sungai
KHARISMA MEDIA,Perum Bataan Rt. 025 Rw. 008
Aluq craft,Dusun karang timur
pertanian,jetis rt 18 Rw 08
Luli salon,Hos Cokromoanito 1 RT 06/01
TOKO SEJATI,Jl. KH. Asyari Rt. 024 Rw. 004 
WARUNG SEMBAKO,Desa Alassumur RT 007 RW 003 Kecamatan Pujer Kabupaten Bondowoso
Aneka Kue basah,Jl raya situbondo Rt 003 / RW 001
TOKO LULUK,Jl. Imam Bonjol RT. 014 RW. 003
WARUNG MAKAN BAROKAH,BLOK TERMINAL PASAR SUKOSARI BONDOWOSO
Luluk Haryadi,SEMPOL
Penjahit,Desa Mengok RT 002 RW 001 Kec.Pujer Kab.Bondowoso
PENJAHIT,JL DIPONEGORO 146 RT 19 RW 04
PENJAHIT,JETIS RT 7 RW 03
NINDY COLLECTION,CURAHDAMI RT.002 RW.001
MENJAHIT BAJU DAN VERMAK PAKAIAN,bataan RT 11 RW 04
LULUK TAILOR,Ds. Pejaten RT 16 RW 04 Bondowoso
DAPUR UMMI,DUSUN KRAJAN RT.002 RW.001
Barokah,Koncer Kidul Jatian Rt 29/Rw 10
AISYAH OLSHOP,Dusun Krajan RT 09 RW 05
UD. LUNNA TANI,DUSUN KRAJAN I RT. 004 RW. 001
Pedangan Pracangan,Dusun waduk rt 05 rw 03 desa sukokerto pujer Bondowoso
Warung ayu,Jl. Abdurahman Saleh RT.005 RW.001
0GAF STORY STUDIO,Dusun Krajan RT 06 RW 02
GALERY FRIZEL,Jebung Lor RT.005 RW.001
DAGANG,DUSUN KRAJAN II 05/02
toko,cermee
Pedagang Keliling Hajatan,Dusun Jatian RT 33 RW 11
tiga empat equail farm,Jl. Kopral Murin Rt 2 Rw 8. 
SERBA ADA,ANDUNG PAKUALAS  RT 011 RW 003
UD. ALDABIL,Desa Sumber Gading Rt.021/Rw.001 Kec.Sumber wringin Kab.Bondowoso
Toko alat tulis,Kembang rt 005 rw 002
UD. LUTFI,Dusun Pasar RT 019/005
Bengkel Reza,Desa Ampelan  RT 002/RW 002
BAKSO ADILAN,PATEMON RT.016 RW.003
Produksi Bubuk Kopi,"Kluncing Barat, Rt/Rw, 015/004, Sukorejo, Sumberwringin, Bondowoso"
dagang sapi,"pasaran sapi (situbondo,bondowoso)"
Warung pracangan.pak lutfi,Desa sukek Rt017/Rw008
Elfia Rias,Dusun selatan sawah Rt13/05 Desa Dawuhan
TAPE BAKAR DAN KERIPIK SINGKONG,WRINGIN RT 002/011
""" TOKO LUTFIYAH """,Desa Sukosari Lor RT.018 RW.008
Kedai Callysta,Perum villa kembang asri AB5 RT. 026 RW. 006
3D BAROKAH,RT.013 RW.001
perdagangan,jetis Rt 14 Rw 06
KULINER,Lojih RT 011 RW 005
VIA COLLECTION,JL.SUCIPTO YUDODIHARJO RT.001 RW.001
PERDAGANGAN,JETIS RT 11
AFDHAL KOI FARM,DUSUN NASAR RT 5
UD Vina,Desa Kerang RT 01/ RW 02 Sukosari Bondowoso
,Jl. Panjaitan
DEPOT AIR MINUM ISI ULANG,DESA PRAJEKAN KIDUL RT. 01 RW. 07 
UD SYAVIA CAKE,LETJEN SUPRAPTO NO.16 RT.014 RW.003
Bakpia Lyla,Jurangsapi rt.45 rw.1t
KOPI LYLA,Jurang Sapi RT.045/ RW. 015
Jual Beli Kendaraan Bekas dan Toko,Kompleks Pasar Kita Jebung Kidul
Pedagang Kacang Telur,Perum Graha Lumbung Asri B 49 Bataan Tenggarang
PERDAGANGAN,JETIS RT 09 RW 04
ERIF CRAFT,Dusun Karang Timur RT. 021 RW. 005
Arif tani,Wonosuko rt/rw 01/01 tamanan
MEBEL MAKMUR JAYA,Dusun krajan RT08 RW03
Alif Art,Dusun Taman Rt.021 Rw.003
"TOKO ""ANANDA JAYA""",RT.20 RW.07
Fara Baby Cumi Shop,"Jalan Saliwiryo Pranowo 10, Kotakulon, Bondowoso"
USAHA BUDIDAYA IKAN FAESOL,Wonosart RT 16 RW 04
RAFI JAYA,DESA PEJATEN RT.012 RW.003
SOJA MILK BONDOWOSO,Jl. HOS Cokroaminoto
Restu Ibu,Dusun Jerukan RT/RW. 016/004
WARUNG MAKANAN PEDAS,"Jl.Pakisan, RT.002 RW.001, Kerajan"
ZAFA,Tlogosari Rt 09 rw 03
ANGKRINGAN KAKI LIMA,JL HOSCOKROAMINOTO 48 RT.24 RW.04
JASA ANGKUTAN,Desa Randu Cangkring RT.006/RW.001
BENGKEL MOTOR,MANDIRO RT.09 RW.03
SELEP TEPUNG,DUSUN KARANG TIMUR 19/04
Pedagang Pakaian Keliling,Dusun Sumber Bendo Rt 10 Rw 03 Desa Pakuniran Kecamatan Maesan
JAMUR CAK HARIS,Dawuhan RT 04 RW 02
Pembuatan Cetakan Kue,Jl. Pakisan Ds. Kajar Kec. Tenggarang Kab. Bondowoso
Ternak kambing,"Kembang 
RT/RW 028/004
Desa kembang
Kecamatan Tlogosari
Kabupaten Bondowoso"
TOKO DOUBLE W CREATIVE,DESA PAKISAN RT.008 RW.002
CINTA 2 CELL,DESA JURANG SAPI - GARDUATAK
151 LUKY JANGKAR,Dusun Krajan Rt. 11 Rw. 003
SUMBER HARAPAN 2,Gunosari RT.08/RW.02
"TOKO ""SUMBER HARAPAN""",Gunosari RT.16/RW.03
JUAL BENSIN ECERAN,BEDIAN 29/06
UD INTAN SARI,DUSUN KIDUL SAWAH BARAT RT.031 RW.007
SULAES YM,sletreng
AMANAH KRUPUK,KAJAYA RT.001 RW.003
surya konveksi,sekarputih
IDOLA GROUP,SANTAWI
MOTOR COSTUM,Jl. Argopuro RT 001 RW 001
pertanian,jl argopuro sumber salak rt 01 rw 01 kec. curahdami kab. bondowoso
CAK IPONG,PADASAN RT 08 RW 03
CITRA AUDIO SOUND SYSTEM,DSN KALIANYAR BARAT DS KALIANYAR KEC TAMANAN KAB BONDOWOSO
TOKO MAINAN BAROKAH,Desa Gambangan
UD. TAUFIK,"Dusun Krajan RT 01 / RW 02, Desa Kupang"
TOKO IDOLA TAUFIK,JALAN KH WAHID HASYIM DEPAN BANK BCA
AYAM BAROKAH,RT. 007 RW 001
,RT. 007 RW. 001
Dagang Sembako,Dusun Paceh
FARHANA,Jl Sumber Kemuning Krajan
,Sumber Kemuning Krajan
Penggilingan Jagung,Desa Karanganyar RT/RW 020/006 Kecamatan Tegalampel Kabupaten Bondowoso
DEPOT JAMU TRADISIONAL SUKOSARI,DESA SUKOSARI LOR RT.006 RW.003
Pedagang Online,Dusun Krajan RT 05/01
Kabir alumunium,Pancoran
Pertanian,Dusun Karang Tengah RT.18 RW.04
TAMAN MEBEL BAROKAH,TAMAN 
UD DUA BERSAUDARA,SUMBER ANYAR RT 16 RW 04 JAMBESARI DARUS SHOLAH
Toko Pracangan,"Desa Taman,RT 042 RW 005 Grujugan,Bondowoso"
Catering rumahan,Jl. HOS Cokroaminoto 15
PETANI,KRAJAN JAMBEANOM JAMBESARI BONDOWO
GRAHA MULIA BUSANA,RT. 068 RW. 007
dagang buah,tlogosari rt/rw 006/002
Ma'a cake,Sumber jeruk 02
AL BAROKAH,Kalitapen Rt 015/Rw005
perdagangan,kh.agussalim gg.taman 
PERACANGAN,DUSUN GUNUNG MALANG RT.28 RW.7
TERNAK KAMBING,PERUM AYUDI 2 NO A2 RT 33 RW 10 DESA KEMBANG . BONDOWOSO
TOKO FAUZAN,DESA KAJAR RT.006 RW.002
Dinamis Tailor,jl. PB. Sudirman Gg. II No. 26 RT 0019 / RW 005
PENAMBANGAN ES BERKAH,DUSUN KRAJAN DESA PENAMBANGAN RT 01 RW 01
88 food,Jl. Supriadi rt.25/ rw.01
BAKSO,Dusun Bangsal RT 19 RW 09
PERTANIAN JAYA,BRAMBANG
Toko Syafia,gunosari rt 039 rw 001
UNNA OLSHOP,"Jalan Supriyadi, Kademangan Bondowoso"
TOKO MAESYAROH,PEKALANGAN RT.019 /004
rony bakery,selolembu rt 06/02 curahdami bondowoso
kedai souvenir bondowoso,"jl. K.H Agus Salim 13
rt.11/ rw. 03 
blindungan
bondowoso"
UD. TANI JAYA,"DESA JATISARI RT.01 RW.01, KEC.WRINGIN, KAB.BONDOWOSO"
UD. FR,MENGOK RT.14 RW.04
Jamur Dongkol Jagung,"Ds.Wringin jajar RT 16 RW 06, KALITAPEN, TAPEN, BONDOWOSO."
V.N CELL,RT 10 RW 02 Dusun Sukosumber 1
Genteng kalianyar,kalianyar rt. 008 rw. 002 desa kalianyar
TEMBAKAU PAK NUFAL,Jebung kidul RT 19 RW 04
TOKO MILA,DUSUN LUCU RT.019 RW.004
TOKO AGASS,DUSUN KRAJAN RT 01 RW.01 
KUBE MANDIRI SEJAHTERA,Pasar Jebung Kidul
TOKO SEMPURNA,PASAR KITA JEBUNG KIDUL
,PELALANGAN KAUMAN
DEPOT BAKSO SUPER PAK DESI,Jalan Raya Pakisan Pujer
Budidaya kambing,"DUSUN KOARAH, PAKUNIRAN, MAESAN, BONDOWOSO"
Awik Glass,Jln.kiai togo ambarsari
Perdagangan,jetis Rt 12 Rw 06
TOKO UCIHA SAZUKI,DESA BOTOLINGGO RT.011 RW.005
jual ecer online,dusun utara sungai
UD. CIPTA BAROKAH,RT 015/004
TOKO RESTU,Dusun Lucu RT19 RW 04
TOKO SANTOSA,KRAMAT JATI RT. 07 RW. 03
Meubel mahmud,Sumber kalong rt.023 rw.009
TOKO SEMBAKO,Taman kecil rt/rw 09/03
TOKO RISKY,KUPANG RT.004 RW.002
UD BETON SEMERU,JALAN PAKISAN - PATEMON 
PEDAGANG BAJU,Desa Sukodono RT.007 RW.003
BATU BATA,Dusun Karang Timur
PRACANGAN ,DESA BOTOLINGGO RT.32 RW.12
RIZKI MULIA,KRAJAN II RT 08 RW 03
BENGKEL KAFIL,Dsn. Padeggan Rt 15/Rw00 Desa Ramban Kulon 
UD. BAROKAH,Desa sumber salam rt.11/rw 04
CABE RAWIT MAHRUS,Dusun Karang Sengon RT 20 RW 04
Toko sembako,Sumberkalong RT 009 RW 003
Warung Nasi,Dusun Krajan 1 Suling Kulon RT.11
PENJAHIT WULAN,Pejaten RT 14 RW 03
peracangan,DUSUN KRAMAT DESA JETIS RT 02 RW 01 KECAMATAN CURAHDAMI KABUPATEN BONDOWOSO
petani,dusun kerajan rt.10 rw.03
TOKO AMANAH,"WRINGIN, RT, 002 RW, 004"
TAHU,KONCER DARUL AMAN
Warung Darse,Jln Ayani RT/RW 05/02
Toko peracangan,"Desa Kemuningan Taman krocok, RT012/RW001"
USAHA PEMBUATAN TELUR ASIN & BUMBU,Jl. KH.Wahid Hasyim Gg. II RT.039/ RW.009 Dabasah Bondowoso
PERDAGANGAN,SUKOREJO
TOKO MEGA,TREBUNGAN RT.009 RW.002
TOKO MAISARA,Pekalangan RT 08 RW 02
UD. MAISAROH,LOS PASAR CERMEE Rt. 20
Toko rovi,Lombok kulon rt. 005 rw. 001
TOKO ,pelalangan utara rt/rw 018/004
maisaroh_jamur,Dsn bedian
TERNAKKU,DESA AMBULU 
pedagang,"kauman
rt/rw 017/004
pelalangan"
UD. SELA MANDIRI,Randu Cangkring RT. 008 / RW. 001
UD RICHO JAYA,ALASSUMUR RT.019 RW.007
Berjualan Sandal,Dusun bunduh RT.012/ 004 
UD Bina Karya,Dusun Krajan RT 06 RW 02 Pejagan Bondowoso
MAJU PUTRA JAYA,Desa Pekalangan Rt014/03
Jual Tembakau Eceran,Jalan Mastrip no.08 RT 23/ RW 08 Desa Kembang
BUDIDAYA TELU PUYUH,Dusun Nasar Rt. 006 RW. 002
WARUNG BAROKAH,"Jl Ayani GG. A, Belakang Koramil Kota"
MALIKA BARBERSHOP,Desa Suling Kulon Rt 11 jl. Raya cermee (depan SMP 1 cermee)
 HIDAYAH ONLINE SHOP,Jl. MT. Haryono No.05
Proses log sengon,Dusun sempol desa sumbermalang kec.wringin kab. Bondowoso
TOKO SAHABAT LISTRIK,Desa Maskuning Kulon RT 008 RW 003
BIBIT CABE OCHA,JEBUNG KIDUL RT.003/001
UD MAMLUM ARIEF,KRAJAN RT.005 RW.002
KONTER,Jl. Diponegoro Desa Poncogati Kec. Curahdami
UD DIANA MULYA,LOMBOK WETAN
TOKO  BERKAH,GAYAM RT.010 RW.008
pedagang ayam,jl. diponegoro rt/32 rw/04
MINA TANI,PECALONGAN RT.10 RW.03
Dagang,Jebung Kidul RT. 015 RW. 003
TOKO SANTI,DESA PAGUAN RT 07 RW 02
Peternak Domba,Sumber Salak  rt 02 rw 02
UD TANURA,PEJATEN RT 15 RW 03
Catering B.DILLA,Desa Gadingsari Rt. 08 Rw. 03
IZA COLLECTION,TANGSIL WETAN - WONOSARI - BONDOWOSO
Naylilolshop,Jl Pancur 2 Km Lumutan Botolinggo
kerajinan sangkar burung,dusun nasar rt 05 rw 02
BanyuUrip,"dusun Krajan, desa Taal, Rt/Rw 03/02"
Bondowoso SInergi Farm,Jalan Raya Jember No. 16
Dapur B.Sam,Dusun Kidul sawah barat rt 30 rw 07
Jual beli onlineshop,Jalan Mastrip no.08 RT 23 / RW 08 Desa Kembang Kecamatan Bondowoso.
Mareta's catering,Jl. Mayjen Panjaitan 88/112 rt 018/006
KULINER MARGARET,"Jl. KH.Zainul Arifin I/09 RT 05 RW 01, kel. Kotakulon, Kec. Bondowoso"
Toko Bu Tyas,Jln Cokroaminoto Rt 03 Rw 1
PRACANGAN ,MLATEN RT.04 RW.03
TOKO STAND OBRAL,JALAN KH. WAHID HASYIM RUKO PASAR
,JALAN KH. WAHID HASYIM RUKO PASAR 
TOKO SEMBAKO,DESA BARATAN
WARUNG NASI,DSN KRAJAN SELATAN RT 02 RW 1
CATERRING BUK FERDY,Kis Mangonsarkoro 31 D RT.024 RW.003
WARUNG MARIA,"Trotosari, Rt: 020 Rw: 004"
USAH PEMBUATAN KUE,MANGLI BARAT RT.013 RW.003
PERDANGAN,jjetis Rt 08 Rw 03
""" TOKO ADZIMA """,DESA KERANG RT.006 RW.003
"""CIPTO ROSO""",JALAN SANTAWI KELURAHAN NANGKAAN 
Warkop ,Jl.Koncer kidul tenggarang bondowoso
MAURA CELL,JL.DIPONEGORO RT.025 RW.005
FIRDA DESAIN,KEJAYAN RT 03 RW 01
Jual bensin eceran,Pengarang 
Nisa Olshop,"Jalan:Mt haryono
No:53 rt 19 rw3"
pedagang,"tlogosari
RT/RW 016/004
desa Tlogosari"
Benor berkah,Blimbing RT 01 RW 01
WARUNG LESTARI,JL. Situbondo No.05 Tenggarang Pasar Bondowoso
Marni,Kalitapen RT 07 RW 03 kalitapen kecamatan tapen kabupaten bondowoso
marpuk mandiri,dsn sletreng
MERRY CATERING & CAKE'S,jl. Situbondo No 12 Bataan RT 005/002
UD BERKAH,"Kali Sengon, RT. 002/ RW. 001"
Pedagang sayuran,"Botolinggo, Rt036/Rw012, Botolinggo"
UD AL-KAUTSAR,LUMUTAN RT 94 RW 16
Hosfiah,Jebung Lor Rt.004 Rw.001 
Dagang tempe dan krupuk,Pasar induk bondowoso
Tempe dan krupuk,Pekalangan
BENGKEL,DESA MANDIRO RT.21 RW.07
Toko Anyar,Poncogati RT.014 RW.003
"UD "" SUMBER SUKSES """,Dusun Plampang Utara Rt 016 Rw 004
Pak Aldi / Pak Marsuki,"Desa Sukokerto, Dusun Sukokerto RT  5 RW 3, Kecamatan Pujer "
UD. SUKI JAYA,Walidono Rt. 004 Rw. 002
ZAHIRA FURNITURE,Jalan Raya Mastrip No.14 RT.014 RW.005
QUDSY TAILOR,WRINGIN RT.01/RW.10 WRINGIN BONDOWOSO
NICE COFFEE,"Perum Kadengan Indah
Jl. Madura No, 23 RT:07 / RW:02"
Peternakan Kambing,"Klabang, RT 009 RW 003"
Martha olshop,Dusun andung RT 14 RW 06
MARTHA CAKE DAN SNACK,JL.PB.SUDIRMAN III / 41
,JL.RE.MARTHADINATA 1
jual kue basah,blindungan 015/005
B. RODIK,RT 005 RW 002
Marthin rajut,"PERUM BONDOWOSO INDAH I-08
RT/RW :018/005
KEL/Desa:Nangkaan
kecamatan:bondowoso"
Martzcell,Perum pancoran mas blok a/3 desa pancoran bondowoso
Toko peracangan,"Pancur Ds. Grundo, Rt002/Rw016, Prajegan kidul"
Pedagang,Dusun Krajan sumber tengah RT 12 RW 02 BINAKAL CURAHDAMI BONDOWOSO
Toko Bismillah,JAGUNG SUPRAPTO NO 17 RT.31/RW.08
Puteri Rengganis,Perum villa utama residence blok D6 RT29 RW08
Dagang,"Jawa timur . Bondowoso . Grujugan kidul . Tegal mijin 
Rt.12 rw 03 ."
JUALAN GORENGAN,DUSUN KRAJAN  DESA BATAAN RT 33 RW 10 KECTENGGARANG
PENJUAL KUE,DUSUN LAPANGAN RT 05 RW 02
genteng matres,kalianyar
PEDAGANG,Desa Mengok RT 007 RW 003
TOKO B.MAHRUS,"Desa Sumber Salam Rt.11 Rw.04
Dusun Karang arah"
TOKO B. MARWIYAH,BASEAN RT.08 RW.02 DESA PAKUWESI KECAMATAN CURAHDAMI KABUPATEN BONDOWOSO 
HEBRITTERNAKLELE,Jl mastrip sukowiryo 
TOKO NUSANTARA,RT:021 / RW:003
pedagang kripik,jatitamban 11/04
Frozen Food,Jalan Kolonel Sugiono gang merpati belakang Sumber Kilat
Bakso Lumayan,Dusun Tahuan RT. 23/ RW. 05
Penjual Gorengan,Dusun Jatian RT 027 RW 009
SEGI TIGA R ,PELITA GANG BUNTU 79 RT.16 RW.06 
SEMBAKO,KRAJAN RT.04 RW.01
WARUNG NASI BAROKAH,"Grujugan Kidul, RT. 23 RW. 04"
Industri Kue Maryani,Dusun kalianyar barat rt 12 rw 3
Salon Esa,Jl. Pelita RT/RW 016/006
WARUNG MAKAN MARYATI,DESA JATITAMBAN RT 010/RW 004
WARUNG KOPI,TANGSIL KULON RT.01 RW.01 
Minimarket,"Pasar Tamanan, Tamanan timur "
UD SEJAHTERA BERSAMA,SUKOREJO RT 18 RW 05
,Sukorejo RT 18 RW 05 
Warung Bu Tun,Jln.pelita 73 RT.18 kelurahan Tamansari
pertanian,jetis rt 1 Rw 1
UD. MANDIRI,Jl. Raya Situbondo RT 001 RW 009 Desa Prajekan Kidul Kecamatan Prajekan Kabupaten Bondowoso
"RENTAL MOBIL "" AL-BAROKAH """,Desa Taman RT 007 RW 001
POM MINI MARZUKI,Grujugan Lor RT 20 RW 06
UD BINTANG JAYA,"DESA KEJAYAN RT 10,RW 03 KECAMATAN PUJER"
PR PUTRI LIFA,Desa Jambeanom RT. 035  RW.006
MASUDI,Gayam Kidul Kec. Botolinggo
KERUPUK PAK RONI,DESA SUKOWIRYO RT.012/ RW.003
KRUPUK RAJA,Jl. Letnan Rantam Gg. Inpres Rt.031 Rw.007 Badean
UD. MANDIRI,Dusun Masjid RT.03/RW.01
MASHURI MEUBEL,KARANG ANYAR RT 004/ RW 003
Kebab sahara,Jl imam bonjol gg 2 no 546 rt 15/rw 03 bondowoso
PENJAHIT MASPUT,DESA SOKODONO RT.007 RW.003
TOKO BAROKAH,gayam sude
TOKO HABIBAH,DUSUN SLETRENG RT.004 RW.002
DAGANG DAN PERTANIAN,PAKISAN TLOGOSARI BONDOWOSO
WHOT SR. FURNITURE,RT.006 / RW.001
Toko Peracangan,Dusun Krajan Baru RT 002 RW 001 
PEDAGANG GORENGAN,GRUJUGAN LOR RT/R 010/003
toko pracangan,jebung lor rt 003 rw 001
salon rambut,tlogosari rt 011 rw 03
TOKO SUGENG,DESA KALITAPEN RT.012 RW.004
"UD ""BAHAR JAYA""",DESA SELOLEMBU RT.03 RW.01 KEC. CURAHDAMI KAB.BONDOWOSO
LALA JAYA,Desa Gadingsari Rt. 01 /01 Kecamatan Binakal Kabupaten Bondowoso
SULEK HOSPOT,Sulek RT 017 / RW 007
BAKWAN P. TUR,Dusun Sraten 02 Prajekan Kidul RT.002 RW.009
TOKO B. FARIDA,BASIAN RT 08 RW 02 DESA PAKUWESI KECAMATAN CURAHDAMI KABUPATEN BONDOWOSO
Produksi dan Jasa Pemasangan Stiker Kaca,Desa Kembang Rt/Rw 024/003 Kecamatan Tlogosari Bondowoso
Mina Sejahtera,Randu Cangkring RT 15 RW 2 Kecamatan Pujer
PEDAGANG MAKANAN,"JL.KIS MANGUNSARKORO RT.008 RW.004 TAMANSARI,BONDOWOSO"
Pedagang eceran,tegal mijin
PRACANGAN BATAKO,Dusun Krajan RT. 005 RW. 001
Zanny cell,Desa gading sari kecamatan binakalh
 PONG MASWI,PADASAN RT1 RW1
BENGKEL LAS RAJA BESI,Desa Tegal Mejin RT.006 RW.002
DAM AMPEL,RT 002 RW 005
BENGKEL LAS INTAN BAHARI,DUSUN PAKEL RT.005 RW.003
Produksi Bumbu Dapur,sumbertengah
UD RIMBA JATI,Dusun Menuran RT.018/RW.005
"UD."" MATT COFFEE """,Dusun Sukorejo Lor Rt.039/Rw.004 Desa Rejoagung
UD BAROKAH,Curahdami RT.010 RW.002
UD. TAPE MANIS 32,DUSUN TAMBIRITAN RT. 09 RW. 03 
MATSURI,BASEAN RT.07 RW.02 DESA PAKUWESI KECAMATAN CURAHDAMI KABUPATEN BONDOWOSO
MEUBEL KEMBANG JATI,PERUM KEMBANG PERMAI DD. 14
MITRA MANDIRI,jl. KH.Agus Salim No.1 RT.012/Rw.04 Blindungan Bondowoso
Toko ziome,Jln kawah ijen rt 1 / rw 1 reces
ISTANA MAKARONI MIE LIDI,JL.SUPRIADI NO.82 RT.014 RW.003
DAWET LARIS,DUSUN KRAJAN DESA JUMPONG RT 05 RW 02
Hendrik olshop,Desa sulek
penjual eceran,Brig Pol Sudarlan Rt 12 Rw 04
mauvi shop,"Jln.Raya Situbondo,belakang Sd tenggarang 01 RT 10 RW 04 Tenggarang,Bondowoso."
PETERNAKAN,JETIS
MAWARS TAILOR,DUSUN CANGKRING RT 0145/ RW 004
pedagang kacang rebus keliling,dusun krajan rt 03/rw01 
TOKO SUMBER ABADI,Desa Mengok RT.005 RW.001
Garam Rumala ,Jl letnan rantam Rt 31 Rw 07. Kecamatan Badean Kabupaten Bondowoso
ATELIER MAGNIFIQUE,perumahan poncogaty regency E40 
Arina Collection,sumber tengah binakal
JUAL BELI SEPEDA MOTOR ABADI,JALAN DIPONEGORO 57RT.02 RW.01
TOKO ALBIAN,Jl. Diponegoro Gg.malabar RT21/RW07 Kotakulon bondowoso
NADA,desa penambangan curahdami kabupaten bondowoso jawa timur
MEGA JAYA,Dusun Krajan RT 009 RW 001
PENTOL BAKAR KLABANG,Klampokan
TOKO SHIFA,Desa Kajar
JUAL RUJAK,DESA MANDIRO RT.11 RW.02
JUAL BELI ONLINE,Karanganyar Rt.13 Rw.04
Warung Pojok B.Gatot,Desa Pucang anom RT3/Rw1 kec.Jambesari Darussholah
SULE SARI KEDELAI MURNI,DESA LUMUTAN RT.38 RW.08 
,DESA LUMUTAN RT.38 RW.08
MeryShop,Desa Kembang Kec. Bondowoso
PERENG MONJUNG,DIPONEGORO GG MALABAR
TOKO SABAR,Desa koarah RT.011 RW.002
,Koarah RT.011 RW.002
JAYA TANI,Kretek 1
Borahae Bakery,Jalan Kh.Zainul Arivin No.68 Rt.04 Rw.01
melisa olshop,jln.kh agussalim rt11 rw 03 blindungan bondowoso
RISKYA,JL. LETJEN S. PARMAN RT 10 RW 05 GANG PERWIRA
WARUNG MAS ARIF,Jalan Khairil Anwar
BENGKEL LAS,JL.A YANI GANG KEJAKSAAN RT.011 RW.003
Motion Creative,Jl. A. Yani No. 59
MINA BAROKAH,Sumber Kalong Rt. 015 Rw. 005
Pedagang kaki lima kaos kaki,Jln re martadinata No 30 Rt 35 Rw 08 
MEME COLLECTION,Perum PBI Kavling RT.017 / RW.005
UD CIPTA SARI MURNI,Dusun Glidung Rt.036/Rw.012
PETERNAKAN DAN JUAL BELI AYAM,DSN KARANG ARAH RT 13 RW 4
Ayam geprek maskades,kampung haji bataan. RT/RW 002/001 . Desa bataan kecamatan tenggarang
Laundry,Dusun Congkrong Barat Desa Taman No. 8 RT 05 RW 01 Kecamatan Grujugan Kabupaten Bondowoso
U2L_ LES KOMPUTER GRATIS,( Belakang Toko Sampean ) Jl. Raya Situbondo Desa Kalitapen RT.24 / RW.10 Kec. Tapen Kab. Bondowoso Provi. Jawa Timur
U2L_CCTV,Jl. Raya Situbondo RT.24 / RW. 10 Dusun Drasah Desa Kalitapen Kecamatan Tapen Kabupaten Bondowoso
U2L_COMPUTER,Jl.Raya Situbondo RT.24 / RW.10 Desa Kalitapen Kec.Tapen
,Jl. Raya Situbondo RT.24 / RW.10 Desa Kalitapen Kecamatan Tapen Kabupaten Bondowoso
Ud sinar terang rahmaniah,"Pb sudirman II/671
Rt/rw 018/005
Kecl/desa blindungan
Kecamatan bondowoso"
JIGOR CILOR BU UMI,JLN PANJAITAN RT.018 RW.006 
,JLN PANJAITAN RT.018 RW.006
